company,country_group,capability_key,capability,focus_score_0to3,confidence,source_hint
Siili Solutions,Target,strategy_design,Strategy & Design,1,estimated,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Siili Solutions,Target,data_ai,Data & AI,3,estimated,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Siili Solutions,Target,cloud_platform,Cloud & Platforms,2,estimated,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Siili Solutions,Target,custom_software,Custom Software Dev,2,estimated,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Siili Solutions,Target,enterprise_platforms,Enterprise Platforms,1,estimated,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Siili Solutions,Target,managed_services,Managed Services / Ops,1,estimated,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Siili Solutions,Target,cybersecurity,Cybersecurity,1,estimated,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Siili Solutions,Target,embedded_iot,Embedded / IoT / Engineering,2,estimated,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Siili Solutions,Target,commerce_dx,Commerce / Digital Experience,1,estimated,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Siili Solutions,Target,automation_rpa,Automation / RPA,1,estimated,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Siili Solutions,Target,near_offshore,Near/Offshore Delivery,1,estimated,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Gofore,Finland,strategy_design,Strategy & Design,2,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Gofore,Finland,data_ai,Data & AI,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Gofore,Finland,cloud_platform,Cloud & Platforms,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Gofore,Finland,custom_software,Custom Software Dev,2,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Gofore,Finland,enterprise_platforms,Enterprise Platforms,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Gofore,Finland,managed_services,Managed Services / Ops,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Gofore,Finland,cybersecurity,Cybersecurity,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Gofore,Finland,embedded_iot,Embedded / IoT / Engineering,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Gofore,Finland,commerce_dx,Commerce / Digital Experience,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Gofore,Finland,automation_rpa,Automation / RPA,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Gofore,Finland,near_offshore,Near/Offshore Delivery,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Vincit,Finland,strategy_design,Strategy & Design,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Vincit,Finland,data_ai,Data & AI,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Vincit,Finland,cloud_platform,Cloud & Platforms,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Vincit,Finland,custom_software,Custom Software Dev,3,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Vincit,Finland,enterprise_platforms,Enterprise Platforms,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Vincit,Finland,managed_services,Managed Services / Ops,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Vincit,Finland,cybersecurity,Cybersecurity,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Vincit,Finland,embedded_iot,Embedded / IoT / Engineering,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Vincit,Finland,commerce_dx,Commerce / Digital Experience,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Vincit,Finland,automation_rpa,Automation / RPA,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Vincit,Finland,near_offshore,Near/Offshore Delivery,2,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Digital Workforce Services,Finland,strategy_design,Strategy & Design,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Digital Workforce Services,Finland,data_ai,Data & AI,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Digital Workforce Services,Finland,cloud_platform,Cloud & Platforms,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Digital Workforce Services,Finland,custom_software,Custom Software Dev,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Digital Workforce Services,Finland,enterprise_platforms,Enterprise Platforms,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Digital Workforce Services,Finland,managed_services,Managed Services / Ops,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Digital Workforce Services,Finland,cybersecurity,Cybersecurity,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Digital Workforce Services,Finland,embedded_iot,Embedded / IoT / Engineering,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Digital Workforce Services,Finland,commerce_dx,Commerce / Digital Experience,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Digital Workforce Services,Finland,automation_rpa,Automation / RPA,3,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Digital Workforce Services,Finland,near_offshore,Near/Offshore Delivery,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Witted Megacorp,Finland,strategy_design,Strategy & Design,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
Witted Megacorp,Finland,data_ai,Data & AI,1,inferred,Derived from public positioning keywords (heuristic). Update manually for accuracy.
